Date,Time,plates
2026-06-01,13:46:22.599944,[]
2026-06-01,13:46:22.633277,[]
2026-06-01,13:46:22.666610,[]
2026-06-01,13:46:22.699943,[]
2026-06-01,13:46:22.733276,[]
2026-06-01,13:46:22.766609,[]
2026-06-01,13:46:22.799942,[]
2026-06-01,13:46:22.833275,[]
2026-06-01,13:46:22.866608,[]
2026-06-01,13:46:22.899941,[]
2026-06-01,13:46:22.933274,[]
2026-06-01,13:46:22.966607,[]
2026-06-01,13:46:22.999940,[]
2026-06-01,13:46:23.033273,[]
2026-06-01,13:46:23.066606,[]
2026-06-01,13:46:23.099939,[]
2026-06-01,13:46:23.133272,[]
2026-06-01,13:46:23.166605,[]
2026-06-01,13:46:23.199938,[]
2026-06-01,13:46:23.233271,[]
2026-06-01,13:46:23.266604,[]
2026-06-01,13:46:23.299937,[]
2026-06-01,13:46:23.333270,[]
2026-06-01,13:46:23.366603,[]
2026-06-01,13:46:23.399936,[]
2026-06-01,13:46:23.433269,[]
2026-06-01,13:46:23.466602,[]
2026-06-01,13:46:23.499935,[]
2026-06-01,13:46:23.533268,[]
2026-06-01,13:46:23.566601,[]
2026-06-01,13:46:23.599934,[]
2026-06-01,13:46:23.633267,[]
2026-06-01,13:46:23.666600,[]
2026-06-01,13:46:23.699933,[]
2026-06-01,13:46:23.733266,[]
2026-06-01,13:46:23.766599,[]
2026-06-01,13:46:23.799932,[]
2026-06-01,13:46:23.833265,[]
2026-06-01,13:46:23.866598,[]
2026-06-01,13:46:23.899931,[]
2026-06-01,13:46:23.933264,[]
2026-06-01,13:46:23.966597,[]
2026-06-01,13:46:23.999930,[]
2026-06-01,13:46:24.033263,[]
2026-06-01,13:46:24.066596,[]
2026-06-01,13:46:24.099929,[]
2026-06-01,13:46:24.133262,[]
2026-06-01,13:46:24.166595,[]
2026-06-01,13:46:24.199928,[]
2026-06-01,13:46:24.233261,[]
2026-06-01,13:46:24.266594,[]
2026-06-01,13:46:24.299927,[]
2026-06-01,13:46:24.333260,[]
2026-06-01,13:46:24.366593,[]
2026-06-01,13:46:24.399926,[]
2026-06-01,13:46:24.433259,[]
2026-06-01,13:46:24.466592,[]
2026-06-01,13:46:24.499925,[]
2026-06-01,13:46:24.533258,[]
2026-06-01,13:46:24.566591,[]
2026-06-01,13:46:24.599924,[]
2026-06-01,13:46:24.633257,[]
2026-06-01,13:46:24.666590,[]
2026-06-01,13:46:24.699923,[]
2026-06-01,13:46:24.733256,[]
2026-06-01,13:46:24.766589,[]
2026-06-01,13:46:24.799922,[]
2026-06-01,13:46:24.833255,[]
2026-06-01,13:46:24.866588,[]
2026-06-01,13:46:24.899921,[]
2026-06-01,13:46:24.933254,[]
2026-06-01,13:46:24.966587,[]
2026-06-01,13:46:24.999920,[]
2026-06-01,13:46:25.033253,[]
2026-06-01,13:46:25.066586,[]
2026-06-01,13:46:25.099919,[]
2026-06-01,13:46:25.133252,[]
2026-06-01,13:46:25.166585,[]
2026-06-01,13:46:25.199918,[]
2026-06-01,13:46:25.233251,[]
2026-06-01,13:46:25.266584,[]
2026-06-01,13:46:25.299917,[]
2026-06-01,13:46:25.333250,[]
2026-06-01,13:46:25.366583,[]
2026-06-01,13:46:25.399916,[]
2026-06-01,13:46:25.433249,[]
2026-06-01,13:46:25.466582,[]
2026-06-01,13:46:25.499915,[]
2026-06-01,13:46:25.533248,[]
2026-06-01,13:46:25.566581,[]
2026-06-01,13:46:25.599914,[]
2026-06-01,13:46:25.633247,[]
2026-06-01,13:46:25.666580,[]
2026-06-01,13:46:25.699913,[]
2026-06-01,13:46:25.733246,[]
2026-06-01,13:46:25.766579,[]
2026-06-01,13:46:25.799912,[]
2026-06-01,13:46:25.833245,[]
2026-06-01,13:46:25.866578,[]
2026-06-01,13:46:25.899911,[]
2026-06-01,13:46:25.933244,[]
2026-06-01,13:46:25.966577,[]
2026-06-01,13:46:25.999910,[]
2026-06-01,13:46:26.033243,[]
2026-06-01,13:46:26.066576,[]
2026-06-01,13:46:26.099909,[]
2026-06-01,13:46:26.133242,[]
2026-06-01,13:46:26.166575,[]
2026-06-01,13:46:26.199908,[]
2026-06-01,13:46:26.233241,[]
2026-06-01,13:46:26.266574,[]
2026-06-01,13:46:26.299907,[]
2026-06-01,13:46:26.333240,[]
2026-06-01,13:46:26.366573,[]
2026-06-01,13:46:26.399906,[]
2026-06-01,13:46:26.433239,[]
2026-06-01,13:46:26.466572,[]
2026-06-01,13:46:26.499905,[]
2026-06-01,13:46:26.533238,[]
