Date,Time,plates
2026-06-10,12:36:09,[]
2026-06-10,12:36:09.033367,[]
2026-06-10,12:36:09.066734,[]
2026-06-10,12:36:09.100101,[]
2026-06-10,12:36:09.133468,[]
2026-06-10,12:36:09.166835,[]
2026-06-10,12:36:09.200202,[]
2026-06-10,12:36:09.233569,[]
2026-06-10,12:36:09.266936,[]
2026-06-10,12:36:09.300303,[]
2026-06-10,12:36:09.333670,[]
2026-06-10,12:36:09.367037,[]
2026-06-10,12:36:09.400404,[]
2026-06-10,12:36:09.433771,[]
2026-06-10,12:36:09.467138,[]
2026-06-10,12:36:09.500505,[]
2026-06-10,12:36:09.533872,[]
2026-06-10,12:36:09.567239,[]
2026-06-10,12:36:09.600606,[]
2026-06-10,12:36:09.633973,[]
2026-06-10,12:36:09.667340,[]
2026-06-10,12:36:09.700707,[]
2026-06-10,12:36:09.734074,[]
2026-06-10,12:36:09.767441,[]
2026-06-10,12:36:09.800808,[]
2026-06-10,12:36:09.834175,[]
2026-06-10,12:36:09.867542,[]
2026-06-10,12:36:09.900909,[]
2026-06-10,12:36:09.934276,[]
2026-06-10,12:36:09.967643,[]
2026-06-10,12:36:10.001010,[]
2026-06-10,12:36:10.034377,[]
2026-06-10,12:36:10.067744,[]
2026-06-10,12:36:10.101111,[]
2026-06-10,12:36:10.134478,[]
2026-06-10,12:36:10.167845,[]
2026-06-10,12:36:10.201212,[]
2026-06-10,12:36:10.234579,[]
2026-06-10,12:36:10.267946,[]
2026-06-10,12:36:10.301313,[]
2026-06-10,12:36:10.334680,[]
2026-06-10,12:36:10.368047,[]
2026-06-10,12:36:10.401414,[]
2026-06-10,12:36:10.434781,[]
2026-06-10,12:36:10.468148,[]
2026-06-10,12:36:10.501515,[]
2026-06-10,12:36:10.534882,[]
2026-06-10,12:36:10.568249,[]
2026-06-10,12:36:10.601616,[]
2026-06-10,12:36:10.634983,[]
2026-06-10,12:36:10.668350,[]
2026-06-10,12:36:10.701717,[]
2026-06-10,12:36:10.735084,[]
2026-06-10,12:36:10.768451,[]
2026-06-10,12:36:10.801818,[]
2026-06-10,12:36:10.835185,[]
2026-06-10,12:36:10.868552,[]
2026-06-10,12:36:10.901919,[]
2026-06-10,12:36:10.935286,[]
2026-06-10,12:36:10.968653,[]
2026-06-10,12:36:11.002020,[]
2026-06-10,12:36:11.035387,[]
2026-06-10,12:36:11.068754,[]
2026-06-10,12:36:11.102121,[]
2026-06-10,12:36:11.135488,[]
2026-06-10,12:36:11.168855,[]
2026-06-10,12:36:11.202222,[]
2026-06-10,12:36:11.235589,[]
2026-06-10,12:36:11.268956,[]
2026-06-10,12:36:11.302323,[]
2026-06-10,12:36:11.335690,[]
2026-06-10,12:36:11.369057,[]
2026-06-10,12:36:11.402424,[]
2026-06-10,12:36:11.435791,[]
2026-06-10,12:36:11.469158,[]
2026-06-10,12:36:11.502525,[]
2026-06-10,12:36:11.535892,[]
2026-06-10,12:36:11.569259,[]
2026-06-10,12:36:11.602626,[]
2026-06-10,12:36:11.635993,[]
2026-06-10,12:36:11.669360,[]
2026-06-10,12:36:11.702727,[]
2026-06-10,12:36:11.736094,[]
2026-06-10,12:36:11.769461,[]
2026-06-10,12:36:11.802828,[]
2026-06-10,12:36:11.836195,[]
2026-06-10,12:36:11.869562,[]
2026-06-10,12:36:11.902929,[]
2026-06-10,12:36:11.936296,[]
2026-06-10,12:36:11.969663,[]
2026-06-10,12:36:12.003030,[]
2026-06-10,12:36:12.036397,[]
2026-06-10,12:36:12.069764,[]
2026-06-10,12:36:12.103131,[]
2026-06-10,12:36:12.136498,[]
2026-06-10,12:36:12.169865,[]
2026-06-10,12:36:12.203232,[]
2026-06-10,12:36:12.236599,[]
2026-06-10,12:36:12.269966,[]
2026-06-10,12:36:12.303333,[]
2026-06-10,12:36:12.336700,[]
2026-06-10,12:36:12.370067,[]
2026-06-10,12:36:12.403434,[]
2026-06-10,12:36:12.436801,[]
2026-06-10,12:36:12.470168,[]
2026-06-10,12:36:12.503535,[]
2026-06-10,12:36:12.536902,[]
2026-06-10,12:36:12.570269,[]
2026-06-10,12:36:12.603636,[]
2026-06-10,12:36:12.637003,[]
2026-06-10,12:36:12.670370,[]
2026-06-10,12:36:12.703737,[]
2026-06-10,12:36:12.737104,[]
2026-06-10,12:36:12.770471,[]
2026-06-10,12:36:12.803838,[]
2026-06-10,12:36:12.837205,[]
2026-06-10,12:36:12.870572,[]
2026-06-10,12:36:12.903939,[]
2026-06-10,12:36:12.937306,[]
2026-06-10,12:36:12.970673,[]
2026-06-10,12:36:13.004040,[]
2026-06-10,12:36:13.037407,[]
2026-06-10,12:36:13.070774,[]
2026-06-10,12:36:13.104141,[]
2026-06-10,12:36:13.137508,[]
2026-06-10,12:36:13.170875,[]
2026-06-10,12:36:13.204242,[]
2026-06-10,12:36:13.237609,[]
2026-06-10,12:36:13.270976,[]
2026-06-10,12:36:13.304343,[]
2026-06-10,12:36:13.337710,[]
2026-06-10,12:36:13.371077,[]
2026-06-10,12:36:13.404444,[]
2026-06-10,12:36:13.437811,[]
2026-06-10,12:36:13.471178,[]
2026-06-10,12:36:13.504545,[]
2026-06-10,12:36:13.537912,[]
2026-06-10,12:36:13.571279,[]
2026-06-10,12:36:13.604646,[]
2026-06-10,12:36:13.638013,[]
2026-06-10,12:36:13.671380,[]
2026-06-10,12:36:13.704747,[]
2026-06-10,12:36:13.738114,[]
2026-06-10,12:36:13.771481,[]
2026-06-10,12:36:13.804848,[]
2026-06-10,12:36:13.838215,[]
2026-06-10,12:36:13.871582,['DC31955']
2026-06-10,12:36:13.904949,['DC31955']
2026-06-10,12:36:13.938316,['DC31955']
2026-06-10,12:36:13.971683,['DC31955']
2026-06-10,12:36:14.005050,['DC31955']
2026-06-10,12:36:14.038417,[]
2026-06-10,12:36:14.071784,[]
2026-06-10,12:36:14.105151,[]
2026-06-10,12:36:14.138518,[]
2026-06-10,12:36:14.171885,[]
2026-06-10,12:36:14.205252,[]
2026-06-10,12:36:14.238619,[]
2026-06-10,12:36:14.271986,[]
2026-06-10,12:36:14.305353,[]
2026-06-10,12:36:14.338720,[]
2026-06-10,12:36:14.372087,[]
2026-06-10,12:36:14.405454,[]
2026-06-10,12:36:14.438821,[]
2026-06-10,12:36:14.472188,[]
2026-06-10,12:36:14.505555,[]
2026-06-10,12:36:14.538922,[]
2026-06-10,12:36:14.572289,[]
2026-06-10,12:36:14.605656,[]
2026-06-10,12:36:14.639023,[]
2026-06-10,12:36:14.672390,[]
2026-06-10,12:36:14.705757,[]
2026-06-10,12:36:14.739124,[]
2026-06-10,12:36:14.772491,[]
2026-06-10,12:36:14.805858,[]
2026-06-10,12:36:14.839225,[]
2026-06-10,12:36:14.872592,[]
2026-06-10,12:36:14.905959,[]
2026-06-10,12:36:14.939326,[]
2026-06-10,12:36:14.972693,[]
2026-06-10,12:36:15.006060,[]
2026-06-10,12:36:15.039427,[]
2026-06-10,12:36:15.072794,[]
