Date,Time,Particle_Count
06/10/2026,12:36:13,"6180
"
06/10/2026,12:36:14,"6170
"
06/10/2026,12:36:15,"6070
"
06/10/2026,12:36:16,"6900
"
06/10/2026,12:36:17,"7460
"
06/10/2026,12:36:18,"7970
"
06/10/2026,12:36:19,"7750
"
06/10/2026,12:36:20,"6830
"
06/10/2026,12:36:21,"6410
"
06/10/2026,12:36:22,"6470
"
06/10/2026,12:36:23,"6060
"
06/10/2026,12:36:24,"6430
"
06/10/2026,12:36:25,"6610
"
06/10/2026,12:36:26,"6400
"
06/10/2026,12:36:27,"6440
"
06/10/2026,12:36:28,"6600
"
06/10/2026,12:36:29,"6600
"
06/10/2026,12:36:30,"6860
"
06/10/2026,12:36:31,"6360
"
06/10/2026,12:36:32,"6470
"
06/10/2026,12:36:33,"6580
"
06/10/2026,12:36:34,"6700
"
06/10/2026,12:36:35,"6810
"
06/10/2026,12:36:36,"6580
"
06/10/2026,12:36:37,"6510
"
06/10/2026,12:36:38,"6670
"
06/10/2026,12:36:39,"6660
"
06/10/2026,12:36:40,"6660
"
06/10/2026,12:36:41,"6670
"
06/10/2026,12:36:42,"6630
"
06/10/2026,12:36:43,"6390
"
06/10/2026,12:36:44,"6490
"
06/10/2026,12:36:45,"6270
"
06/10/2026,12:36:46,"6000
"
06/10/2026,12:36:47,"5930
"
06/10/2026,12:36:48,"6010
"
06/10/2026,12:36:49,"5890
"
06/10/2026,12:36:50,"5890
"
06/10/2026,12:36:51,"5860
"
06/10/2026,12:36:52,"5820
"
06/10/2026,12:36:53,"5710
"
06/10/2026,12:36:54,"5760
"
06/10/2026,12:36:55,"5900
"
06/10/2026,12:36:56,"5770
"
06/10/2026,12:36:57,"5930
"
06/10/2026,12:36:58,"5590
"
06/10/2026,12:36:59,"5630
"
06/10/2026,12:37:00,"5540
"
06/10/2026,12:37:01,"5560
"
06/10/2026,12:37:02,"5630
"
06/10/2026,12:37:03,"5500
"
06/10/2026,12:37:04,"5600
"
06/10/2026,12:37:05,"5700
"
06/10/2026,12:37:06,"5510
"
06/10/2026,12:37:07,"5630
"
06/10/2026,12:37:08,"5410
"
06/10/2026,12:37:09,"5450
"
06/10/2026,12:37:10,"5130
"
06/10/2026,12:37:11,"5190
"
06/10/2026,12:37:12,"5160
"
06/10/2026,12:37:13,"5210
"
06/10/2026,12:37:14,"5210
"
06/10/2026,12:37:15,"5210
"
06/10/2026,12:37:16,"5260
"
06/10/2026,12:37:17,"5090
"
06/10/2026,12:37:18,"5210
"
06/10/2026,12:37:19,"5170
"
06/10/2026,12:37:20,"5070
"
06/10/2026,12:37:21,"4850
"
06/10/2026,12:37:22,"4960
"
06/10/2026,12:37:23,"4860
"
06/10/2026,12:37:24,"4620
"
06/10/2026,12:37:25,"4810
"
06/10/2026,12:37:26,"4620
"
06/10/2026,12:37:27,"4530
"
06/10/2026,12:37:28,"4290
"
06/10/2026,12:37:29,"4400
"
06/10/2026,12:37:30,"4310
"
06/10/2026,12:37:31,"4410
"
06/10/2026,12:37:32,"4440
"
06/10/2026,12:37:33,"4610
"
06/10/2026,12:37:34,"4590
"
06/10/2026,12:37:35,"4700
"
06/10/2026,12:37:36,"4690
"
06/10/2026,12:37:37,"4720
"
06/10/2026,12:37:38,"4740
"
06/10/2026,12:37:39,"4710
"
06/10/2026,12:37:40,"4660
"
06/10/2026,12:37:41,"4580
"
06/10/2026,12:37:42,"4500
"
06/10/2026,12:37:43,"4270
"
06/10/2026,12:37:44,"4370
"
06/10/2026,12:37:45,"4840
"
06/10/2026,12:37:46,"5740
"
06/10/2026,12:37:47,"6500
"
06/10/2026,12:37:48,"4650
"
06/10/2026,12:37:49,"4170
"
06/10/2026,12:37:50,"3830
"
06/10/2026,12:37:51,"3860
"
06/10/2026,12:37:52,"3740
"
06/10/2026,12:37:53,"3770
"
06/10/2026,12:37:54,"3890
"
06/10/2026,12:37:55,"3910
"
06/10/2026,12:37:56,"3920
"
06/10/2026,12:37:57,"4010
"
06/10/2026,12:37:58,"4050
"
06/10/2026,12:37:59,"4200
"
06/10/2026,12:38:00,"5190
"
06/10/2026,12:38:01,"11800
"
06/10/2026,12:38:02,"12200
"
06/10/2026,12:38:03,"14500
"
06/10/2026,12:38:04,"10800
"
06/10/2026,12:38:05,"12800
"
06/10/2026,12:38:06,"10300
"
06/10/2026,12:38:07,"7260
"
06/10/2026,12:38:08,"6560
"
06/10/2026,12:38:09,"7290
"
06/10/2026,12:38:10,"6690
"
06/10/2026,12:38:11,"5850
"
06/10/2026,12:38:12,"4980
"
06/10/2026,12:38:13,"4840
"
06/10/2026,12:38:14,"5070
"
06/10/2026,12:38:15,"4970
"
06/10/2026,12:38:16,"5170
"
06/10/2026,12:38:17,"5180
"
06/10/2026,12:38:18,"5360
"
06/10/2026,12:38:19,"5580
"
06/10/2026,12:38:20,"5750
"
06/10/2026,12:38:21,"5560
"
06/10/2026,12:38:22,"5780
"
06/10/2026,12:38:23,"5870
"
06/10/2026,12:38:24,"6840
"
06/10/2026,12:38:25,"7520
"
06/10/2026,12:38:26,"9790
"
06/10/2026,12:38:27,"14000
"
06/10/2026,12:38:28,"23300
"
06/10/2026,12:38:29,"18200
"
06/10/2026,12:38:30,"24100
"
06/10/2026,12:38:31,"12200
"
06/10/2026,12:38:32,"10200
"
06/10/2026,12:38:33,"11900
"
06/10/2026,12:38:34,"13000
"
06/10/2026,12:38:35,"12800
"
06/10/2026,12:38:36,"13600
"
06/10/2026,12:38:37,"20300
"
06/10/2026,12:38:38,"22600
"
06/10/2026,12:38:39,"20100
"
06/10/2026,12:38:40,"18800
"
06/10/2026,12:38:41,"19600
"
06/10/2026,12:38:42,"20000
"
06/10/2026,12:38:43,"20300
"
06/10/2026,12:38:44,"21700
"
06/10/2026,12:38:45,"20600
"
06/10/2026,12:38:46,"16600
"
06/10/2026,12:38:47,"16300
"
06/10/2026,12:38:48,"20600
"
06/10/2026,12:38:49,"18800
"
06/10/2026,12:38:50,"15700
"
06/10/2026,12:38:51,"13200
"
06/10/2026,12:38:52,"13300
"
06/10/2026,12:38:53,"9910
"
06/10/2026,12:38:54,"7390
"
06/10/2026,12:38:55,"6910
"
06/10/2026,12:38:56,"6810
"
06/10/2026,12:38:57,"6130
"
06/10/2026,12:38:58,"5430
"
06/10/2026,12:38:59,"5700
"
06/10/2026,12:39:00,"6700
"
06/10/2026,12:39:01,"5700
"
06/10/2026,12:39:02,"5340
"
06/10/2026,12:39:03,"5040
"
06/10/2026,12:39:04,"4420
"
06/10/2026,12:39:05,"4010
"
06/10/2026,12:39:06,"4140
"
06/10/2026,12:39:07,"4520
"
06/10/2026,12:39:08,"5080
"
06/10/2026,12:39:09,"5350
"
06/10/2026,12:39:10,"5650
"
06/10/2026,12:39:11,"6060
"
06/10/2026,12:39:12,"6240
"
06/10/2026,12:39:13,"5790
"
06/10/2026,12:39:14,"5180
"
06/10/2026,12:39:15,"4910
"
06/10/2026,12:39:16,"4960
"
06/10/2026,12:39:17,"4710
"
06/10/2026,12:39:18,"4930
"
06/10/2026,12:39:19,"4950
"
06/10/2026,12:39:20,"4890
"
06/10/2026,12:39:21,"4960
"
06/10/2026,12:39:22,"4780
"
06/10/2026,12:39:23,"5000
"
06/10/2026,12:39:24,"5080
"
06/10/2026,12:39:25,"5150
"
06/10/2026,12:39:26,"5110
"
06/10/2026,12:39:27,"5020
"
06/10/2026,12:39:28,"5060
"
06/10/2026,12:39:29,"5040
"
06/10/2026,12:39:30,"4950
"
06/10/2026,12:39:31,"4900
"
06/10/2026,12:39:32,"5180
"
06/10/2026,12:39:33,"5210
"
06/10/2026,12:39:34,"5170
"
06/10/2026,12:39:35,"6930
"
06/10/2026,12:39:36,"7750
"
06/10/2026,12:39:37,"8050
"
06/10/2026,12:39:38,"8560
"
06/10/2026,12:39:39,"8430
"
06/10/2026,12:39:40,"8580
"
06/10/2026,12:39:41,"8790
"
06/10/2026,12:39:42,"9370
"
06/10/2026,12:39:43,"9850
"
06/10/2026,12:39:44,"7830
"
06/10/2026,12:39:45,"6670
"
06/10/2026,12:39:46,"5300
"
06/10/2026,12:39:47,"5000
"
06/10/2026,12:39:48,"4930
"
06/10/2026,12:39:49,"4880
"
06/10/2026,12:39:50,"5260
"
06/10/2026,12:39:51,"5400
"
06/10/2026,12:39:52,"5440
"
06/10/2026,12:39:53,"5530
"
06/10/2026,12:39:54,"5400
"
06/10/2026,12:39:55,"5190
"
06/10/2026,12:39:56,"5230
"
06/10/2026,12:39:57,"5060
"
06/10/2026,12:39:58,"5020
"
06/10/2026,12:39:59,"5180
"
06/10/2026,12:40:00,"5050
"
06/10/2026,12:40:01,"4970
"
06/10/2026,12:40:02,"4900
"
06/10/2026,12:40:03,"4950
"
06/10/2026,12:40:04,"5010
"
06/10/2026,12:40:05,"4900
"
06/10/2026,12:40:06,"4950
"
06/10/2026,12:40:07,"4790
"
06/10/2026,12:40:08,"5120
"
06/10/2026,12:40:09,"5490
"
06/10/2026,12:40:10,"5610
"
06/10/2026,12:40:11,"5470
"
06/10/2026,12:40:12,"5420
"
06/10/2026,12:40:13,"5370
"
06/10/2026,12:40:14,"5370
"
06/10/2026,12:40:15,"5420
"
06/10/2026,12:40:16,"5350
"
06/10/2026,12:40:17,"5290
"
06/10/2026,12:40:18,"5310
"
06/10/2026,12:40:19,"5300
"
06/10/2026,12:40:20,"5420
"
06/10/2026,12:40:21,"5420
"
06/10/2026,12:40:22,"5520
"
06/10/2026,12:40:23,"5480
"
06/10/2026,12:40:24,"5570
"
06/10/2026,12:40:25,"5480
"
06/10/2026,12:40:26,"5560
"
06/10/2026,12:40:27,"5340
"
06/10/2026,12:40:28,"5630
"
06/10/2026,12:40:29,"5770
"
06/10/2026,12:40:30,"5780
"
06/10/2026,12:40:31,"6010
"
06/10/2026,12:40:32,"6220
"
06/10/2026,12:40:33,"7210
"
06/10/2026,12:40:34,"7530
"
06/10/2026,12:40:35,"6360
"
06/10/2026,12:40:36,"6380
"
06/10/2026,12:40:37,"6500
"
06/10/2026,12:40:38,"6420
"
06/10/2026,12:40:39,"6980
"
06/10/2026,12:40:40,"6660
"
06/10/2026,12:40:41,"6310
"
06/10/2026,12:40:42,"5390
"
06/10/2026,12:40:43,"5640
"
06/10/2026,12:40:44,"5500
"
06/10/2026,12:40:45,"5020
"
06/10/2026,12:40:46,"4040
"
06/10/2026,12:40:47,"4280
"
06/10/2026,12:40:48,"4170
"
06/10/2026,12:40:49,"4260
"
06/10/2026,12:40:50,"4130
"
06/10/2026,12:40:51,"4150
"
06/10/2026,12:40:52,"4100
"
06/10/2026,12:40:53,"4130
"
06/10/2026,12:40:54,"4100
"
06/10/2026,12:40:55,"4300
"
06/10/2026,12:40:56,"4310
"
06/10/2026,12:40:57,"4320
"
06/10/2026,12:40:58,"4320
"
06/10/2026,12:40:59,"4320
"
06/10/2026,12:41:00,"4360
"
06/10/2026,12:41:01,"4300
"
06/10/2026,12:41:02,"4240
"
06/10/2026,12:41:03,"4290
"
06/10/2026,12:41:04,"4250
"
06/10/2026,12:41:05,"4320
"
06/10/2026,12:41:06,"4530
"
06/10/2026,12:41:07,"4690
"
06/10/2026,12:41:08,"4800
"
06/10/2026,12:41:09,"4780
"
06/10/2026,12:41:10,"4840
"
06/10/2026,12:41:11,"4730
"
06/10/2026,12:41:12,"4670
"
06/10/2026,12:41:13,"4640
"
06/10/2026,12:41:14,"4560
"
06/10/2026,12:41:15,"4600
"
06/10/2026,12:41:16,"4660
"
06/10/2026,12:41:17,"5330
"
06/10/2026,12:41:18,"5820
"
06/10/2026,12:41:19,"5940
"
06/10/2026,12:41:20,"5390
"
06/10/2026,12:41:21,"5170
"
06/10/2026,12:41:22,"4890
"
06/10/2026,12:41:23,"4940
"
06/10/2026,12:41:24,"4870
"
06/10/2026,12:41:25,"4650
"
06/10/2026,12:41:26,"4420
"
06/10/2026,12:41:27,"4400
"
06/10/2026,12:41:28,"4790
"
06/10/2026,12:41:29,"5120
"
06/10/2026,12:41:30,"4890
"
06/10/2026,12:41:31,"4300
"
06/10/2026,12:41:32,"4260
"
06/10/2026,12:41:33,"5080
"
06/10/2026,12:41:34,"5770
"
06/10/2026,12:41:35,"5910
"
06/10/2026,12:41:36,"6390
"
06/10/2026,12:41:37,"6720
"
06/10/2026,12:41:38,"6590
"
06/10/2026,12:41:39,"6560
"
06/10/2026,12:41:40,"6510
"
06/10/2026,12:41:41,"7020
"
06/10/2026,12:41:42,"7430
"
06/10/2026,12:41:43,"8180
"
06/10/2026,12:41:44,"8070
"
06/10/2026,12:41:45,"8120
"
06/10/2026,12:41:46,"8140
"
06/10/2026,12:41:47,"8150
"
06/10/2026,12:41:48,"8510
"
06/10/2026,12:41:49,"8680
"
06/10/2026,12:41:50,"8850
"
06/10/2026,12:41:51,"8840
"
06/10/2026,12:41:52,"8450
"
06/10/2026,12:41:53,"8030
"
06/10/2026,12:41:54,"7100
"
06/10/2026,12:41:55,"6910
"
06/10/2026,12:41:56,"6270
"
06/10/2026,12:41:57,"5890
"
06/10/2026,12:41:58,"5560
"
06/10/2026,12:41:59,"5160
"
06/10/2026,12:42:00,"5160
"
06/10/2026,12:42:01,"5120
"
06/10/2026,12:42:02,"5610
"
06/10/2026,12:42:03,"5620
"
