Date,Time,plates
2026-06-10,12:56:50.605656,[]
2026-06-10,12:56:50.639023,[]
2026-06-10,12:56:50.672390,[]
2026-06-10,12:56:50.705757,[]
2026-06-10,12:56:50.739124,[]
2026-06-10,12:56:50.772491,[]
2026-06-10,12:56:50.805858,[]
2026-06-10,12:56:50.839225,[]
2026-06-10,12:56:50.872592,[]
2026-06-10,12:56:50.905959,[]
2026-06-10,12:56:50.939326,[]
2026-06-10,12:56:50.972693,[]
2026-06-10,12:56:51.006060,[]
2026-06-10,12:56:51.039427,[]
2026-06-10,12:56:51.072794,[]
2026-06-10,12:56:51.106161,[]
2026-06-10,12:56:51.139528,[]
2026-06-10,12:56:51.172895,[]
2026-06-10,12:56:51.206262,[]
2026-06-10,12:56:51.239629,[]
2026-06-10,12:56:51.272996,[]
2026-06-10,12:56:51.306363,[]
2026-06-10,12:56:51.339730,[]
2026-06-10,12:56:51.373097,[]
2026-06-10,12:56:51.406464,[]
2026-06-10,12:56:51.439831,[]
2026-06-10,12:56:51.473198,[]
2026-06-10,12:56:51.506565,[]
2026-06-10,12:56:51.539932,[]
2026-06-10,12:56:51.573299,[]
2026-06-10,12:56:51.606666,[]
2026-06-10,12:56:51.640033,[]
2026-06-10,12:56:51.673400,[]
2026-06-10,12:56:51.706767,[]
2026-06-10,12:56:51.740134,[]
2026-06-10,12:56:51.773501,[]
2026-06-10,12:56:51.806868,[]
2026-06-10,12:56:51.840235,[]
2026-06-10,12:56:51.873602,[]
2026-06-10,12:56:51.906969,[]
2026-06-10,12:56:51.940336,[]
2026-06-10,12:56:51.973703,[]
2026-06-10,12:56:52.007070,[]
2026-06-10,12:56:52.040437,[]
2026-06-10,12:56:52.073804,[]
2026-06-10,12:56:52.107171,[]
2026-06-10,12:56:52.140538,[]
2026-06-10,12:56:52.173905,[]
2026-06-10,12:56:52.207272,[]
2026-06-10,12:56:52.240639,[]
2026-06-10,12:56:52.274006,[]
2026-06-10,12:56:52.307373,[]
2026-06-10,12:56:52.340740,[]
2026-06-10,12:56:52.374107,[]
2026-06-10,12:56:52.407474,[]
2026-06-10,12:56:52.440841,[]
2026-06-10,12:56:52.474208,[]
2026-06-10,12:56:52.507575,[]
2026-06-10,12:56:52.540942,[]
2026-06-10,12:56:52.574309,[]
2026-06-10,12:56:52.607676,[]
2026-06-10,12:56:52.641043,[]
2026-06-10,12:56:52.674410,[]
2026-06-10,12:56:52.707777,[]
2026-06-10,12:56:52.741144,[]
2026-06-10,12:56:52.774511,[]
2026-06-10,12:56:52.807878,[]
2026-06-10,12:56:52.841245,[]
2026-06-10,12:56:52.874612,[]
2026-06-10,12:56:52.907979,[]
2026-06-10,12:56:52.941346,[]
2026-06-10,12:56:52.974713,[]
2026-06-10,12:56:53.008080,[]
2026-06-10,12:56:53.041447,[]
2026-06-10,12:56:53.074814,[]
2026-06-10,12:56:53.108181,[]
2026-06-10,12:56:53.141548,[]
2026-06-10,12:56:53.174915,[]
2026-06-10,12:56:53.208282,[]
2026-06-10,12:56:53.241649,[]
2026-06-10,12:56:53.275016,[]
2026-06-10,12:56:53.308383,[]
2026-06-10,12:56:53.341750,[]
2026-06-10,12:56:53.375117,[]
2026-06-10,12:56:53.408484,[]
2026-06-10,12:56:53.441851,[]
2026-06-10,12:56:53.475218,[]
