Date,Time,plates
2026-06-01,13:46:17,[]
2026-06-01,13:46:17.033367,[]
2026-06-01,13:46:17.066734,[]
2026-06-01,13:46:17.100101,[]
2026-06-01,13:46:17.133468,[]
2026-06-01,13:46:17.166835,[]
2026-06-01,13:46:17.200202,[]
2026-06-01,13:46:17.233569,[]
2026-06-01,13:46:17.266936,[]
2026-06-01,13:46:17.300303,[]
2026-06-01,13:46:17.333670,[]
2026-06-01,13:46:17.367037,[]
2026-06-01,13:46:17.400404,[]
2026-06-01,13:46:17.433771,[]
2026-06-01,13:46:17.467138,[]
2026-06-01,13:46:17.500505,[]
2026-06-01,13:46:17.533872,[]
2026-06-01,13:46:17.567239,[]
2026-06-01,13:46:17.600606,[]
2026-06-01,13:46:17.633973,[]
2026-06-01,13:46:17.667340,[]
2026-06-01,13:46:17.700707,[]
2026-06-01,13:46:17.734074,[]
2026-06-01,13:46:17.767441,[]
2026-06-01,13:46:17.800808,[]
2026-06-01,13:46:17.834175,[]
2026-06-01,13:46:17.867542,[]
2026-06-01,13:46:17.900909,[]
2026-06-01,13:46:17.934276,[]
2026-06-01,13:46:17.967643,[]
2026-06-01,13:46:18.001010,[]
2026-06-01,13:46:18.034377,[]
2026-06-01,13:46:18.067744,[]
2026-06-01,13:46:18.101111,[]
2026-06-01,13:46:18.134478,[]
2026-06-01,13:46:18.167845,[]
2026-06-01,13:46:18.201212,[]
2026-06-01,13:46:18.234579,[]
2026-06-01,13:46:18.267946,[]
2026-06-01,13:46:18.301313,[]
2026-06-01,13:46:18.334680,[]
2026-06-01,13:46:18.368047,[]
2026-06-01,13:46:18.401414,[]
2026-06-01,13:46:18.434781,[]
2026-06-01,13:46:18.468148,[]
2026-06-01,13:46:18.501515,[]
2026-06-01,13:46:18.534882,[]
2026-06-01,13:46:18.568249,[]
2026-06-01,13:46:18.601616,[]
2026-06-01,13:46:18.634983,[]
2026-06-01,13:46:18.668350,[]
2026-06-01,13:46:18.701717,[]
2026-06-01,13:46:18.735084,[]
2026-06-01,13:46:18.768451,[]
2026-06-01,13:46:18.801818,[]
2026-06-01,13:46:18.835185,[]
2026-06-01,13:46:18.868552,[]
2026-06-01,13:46:18.901919,[]
2026-06-01,13:46:18.935286,[]
2026-06-01,13:46:18.968653,[]
2026-06-01,13:46:19.002020,[]
2026-06-01,13:46:19.035387,[]
2026-06-01,13:46:19.068754,[]
2026-06-01,13:46:19.102121,[]
2026-06-01,13:46:19.135488,[]
2026-06-01,13:46:19.168855,[]
2026-06-01,13:46:19.202222,[]
2026-06-01,13:46:19.235589,[]
2026-06-01,13:46:19.268956,[]
2026-06-01,13:46:19.302323,[]
2026-06-01,13:46:19.335690,[]
2026-06-01,13:46:19.369057,[]
2026-06-01,13:46:19.402424,[]
2026-06-01,13:46:19.435791,[]
2026-06-01,13:46:19.469158,[]
2026-06-01,13:46:19.502525,[]
2026-06-01,13:46:19.535892,[]
2026-06-01,13:46:19.569259,[]
2026-06-01,13:46:19.602626,[]
2026-06-01,13:46:19.635993,[]
2026-06-01,13:46:19.669360,[]
2026-06-01,13:46:19.702727,[]
2026-06-01,13:46:19.736094,[]
2026-06-01,13:46:19.769461,[]
2026-06-01,13:46:19.802828,[]
2026-06-01,13:46:19.836195,[]
2026-06-01,13:46:19.869562,[]
2026-06-01,13:46:19.902929,[]
2026-06-01,13:46:19.936296,[]
2026-06-01,13:46:19.969663,[]
2026-06-01,13:46:20.003030,[]
2026-06-01,13:46:20.036397,[]
2026-06-01,13:46:20.069764,[]
2026-06-01,13:46:20.103131,[]
2026-06-01,13:46:20.136498,[]
2026-06-01,13:46:20.169865,[]
2026-06-01,13:46:20.203232,[]
2026-06-01,13:46:20.236599,[]
2026-06-01,13:46:20.269966,[]
2026-06-01,13:46:20.303333,[]
2026-06-01,13:46:20.336700,[]
2026-06-01,13:46:20.370067,[]
2026-06-01,13:46:20.403434,[]
2026-06-01,13:46:20.436801,[]
2026-06-01,13:46:20.470168,[]
2026-06-01,13:46:20.503535,[]
2026-06-01,13:46:20.536902,[]
2026-06-01,13:46:20.570269,[]
2026-06-01,13:46:20.603636,[]
2026-06-01,13:46:20.637003,[]
2026-06-01,13:46:20.670370,[]
2026-06-01,13:46:20.703737,[]
2026-06-01,13:46:20.737104,[]
2026-06-01,13:46:20.770471,[]
2026-06-01,13:46:20.803838,[]
2026-06-01,13:46:20.837205,[]
2026-06-01,13:46:20.870572,[]
2026-06-01,13:46:20.903939,[]
2026-06-01,13:46:20.937306,[]
2026-06-01,13:46:20.970673,[]
2026-06-01,13:46:21.004040,[]
2026-06-01,13:46:21.037407,[]
2026-06-01,13:46:21.070774,[]
2026-06-01,13:46:21.104141,[]
2026-06-01,13:46:21.137508,[]
2026-06-01,13:46:21.170875,[]
2026-06-01,13:46:21.204242,[]
2026-06-01,13:46:21.237609,[]
2026-06-01,13:46:21.270976,[]
2026-06-01,13:46:21.304343,[]
2026-06-01,13:46:21.337710,[]
2026-06-01,13:46:21.371077,[]
2026-06-01,13:46:21.404444,[]
2026-06-01,13:46:21.437811,[]
2026-06-01,13:46:21.471178,[]
2026-06-01,13:46:21.504545,[]
2026-06-01,13:46:21.537912,[]
2026-06-01,13:46:21.571279,[]
2026-06-01,13:46:21.604646,[]
2026-06-01,13:46:21.638013,[]
2026-06-01,13:46:21.671380,[]
2026-06-01,13:46:21.704747,[]
2026-06-01,13:46:21.738114,[]
2026-06-01,13:46:21.771481,[]
2026-06-01,13:46:21.804848,[]
2026-06-01,13:46:21.838215,[]
2026-06-01,13:46:21.871582,[]
2026-06-01,13:46:21.904949,[]
2026-06-01,13:46:21.938316,[]
2026-06-01,13:46:21.971683,[]
2026-06-01,13:46:22.005050,[]
2026-06-01,13:46:22.038417,[]
2026-06-01,13:46:22.071784,[]
2026-06-01,13:46:22.105151,[]
2026-06-01,13:46:22.138518,[]
2026-06-01,13:46:22.171885,[]
2026-06-01,13:46:22.205252,[]
2026-06-01,13:46:22.238619,[]
2026-06-01,13:46:22.271986,[]
2026-06-01,13:46:22.305353,[]
2026-06-01,13:46:22.338720,[]
2026-06-01,13:46:22.372087,[]
2026-06-01,13:46:22.405454,[]
2026-06-01,13:46:22.438821,[]
2026-06-01,13:46:22.472188,[]
2026-06-01,13:46:22.505555,[]
2026-06-01,13:46:22.538922,[]
2026-06-01,13:46:22.572289,[]
2026-06-01,13:46:22.605656,[]
2026-06-01,13:46:22.639023,[]
2026-06-01,13:46:22.672390,[]
2026-06-01,13:46:22.705757,[]
2026-06-01,13:46:22.739124,[]
2026-06-01,13:46:22.772491,[]
2026-06-01,13:46:22.805858,[]
2026-06-01,13:46:22.839225,[]
2026-06-01,13:46:22.872592,[]
2026-06-01,13:46:22.905959,[]
2026-06-01,13:46:22.939326,[]
2026-06-01,13:46:22.972693,[]
2026-06-01,13:46:23.006060,[]
2026-06-01,13:46:23.039427,[]
2026-06-01,13:46:23.072794,[]
2026-06-01,13:46:23.106161,[]
2026-06-01,13:46:23.139528,[]
2026-06-01,13:46:23.172895,[]
2026-06-01,13:46:23.206262,[]
2026-06-01,13:46:23.239629,[]
2026-06-01,13:46:23.272996,[]
2026-06-01,13:46:23.306363,[]
2026-06-01,13:46:23.339730,[]
2026-06-01,13:46:23.373097,[]
2026-06-01,13:46:23.406464,[]
2026-06-01,13:46:23.439831,[]
2026-06-01,13:46:23.473198,[]
2026-06-01,13:46:23.506565,[]
2026-06-01,13:46:23.539932,[]
2026-06-01,13:46:23.573299,[]
2026-06-01,13:46:23.606666,[]
2026-06-01,13:46:23.640033,[]
2026-06-01,13:46:23.673400,[]
2026-06-01,13:46:23.706767,[]
2026-06-01,13:46:23.740134,[]
2026-06-01,13:46:23.773501,[]
2026-06-01,13:46:23.806868,[]
2026-06-01,13:46:23.840235,[]
2026-06-01,13:46:23.873602,[]
2026-06-01,13:46:23.906969,[]
2026-06-01,13:46:23.940336,[]
2026-06-01,13:46:23.973703,[]
2026-06-01,13:46:24.007070,[]
2026-06-01,13:46:24.040437,[]
2026-06-01,13:46:24.073804,[]
2026-06-01,13:46:24.107171,[]
2026-06-01,13:46:24.140538,[]
2026-06-01,13:46:24.173905,[]
2026-06-01,13:46:24.207272,[]
2026-06-01,13:46:24.240639,[]
2026-06-01,13:46:24.274006,[]
2026-06-01,13:46:24.307373,[]
2026-06-01,13:46:24.340740,[]
2026-06-01,13:46:24.374107,[]
2026-06-01,13:46:24.407474,[]
2026-06-01,13:46:24.440841,[]
2026-06-01,13:46:24.474208,[]
2026-06-01,13:46:24.507575,[]
2026-06-01,13:46:24.540942,[]
2026-06-01,13:46:24.574309,[]
2026-06-01,13:46:24.607676,[]
2026-06-01,13:46:24.641043,[]
2026-06-01,13:46:24.674410,[]
2026-06-01,13:46:24.707777,[]
2026-06-01,13:46:24.741144,[]
2026-06-01,13:46:24.774511,[]
2026-06-01,13:46:24.807878,[]
2026-06-01,13:46:24.841245,[]
2026-06-01,13:46:24.874612,[]
2026-06-01,13:46:24.907979,[]
2026-06-01,13:46:24.941346,[]
2026-06-01,13:46:24.974713,[]
2026-06-01,13:46:25.008080,[]
2026-06-01,13:46:25.041447,[]
2026-06-01,13:46:25.074814,[]
2026-06-01,13:46:25.108181,[]
2026-06-01,13:46:25.141548,[]
2026-06-01,13:46:25.174915,[]
2026-06-01,13:46:25.208282,[]
2026-06-01,13:46:25.241649,[]
2026-06-01,13:46:25.275016,[]
2026-06-01,13:46:25.308383,[]
2026-06-01,13:46:25.341750,[]
2026-06-01,13:46:25.375117,[]
2026-06-01,13:46:25.408484,[]
