Date,Time,plates
2026-06-10,12:07:22,[]
2026-06-10,12:07:22.033367,[]
2026-06-10,12:07:22.066734,[]
2026-06-10,12:07:22.100101,[]
2026-06-10,12:07:22.133468,[]
2026-06-10,12:07:22.166835,[]
2026-06-10,12:07:22.200202,[]
2026-06-10,12:07:22.233569,[]
2026-06-10,12:07:22.266936,[]
2026-06-10,12:07:22.300303,[]
2026-06-10,12:07:22.333670,[]
2026-06-10,12:07:22.367037,[]
2026-06-10,12:07:22.400404,[]
2026-06-10,12:07:22.433771,[]
2026-06-10,12:07:22.467138,[]
2026-06-10,12:07:22.500505,[]
2026-06-10,12:07:22.533872,[]
2026-06-10,12:07:22.567239,[]
2026-06-10,12:07:22.600606,[]
2026-06-10,12:07:22.633973,[]
2026-06-10,12:07:22.667340,[]
2026-06-10,12:07:22.700707,[]
2026-06-10,12:07:22.734074,[]
2026-06-10,12:07:22.767441,[]
2026-06-10,12:07:22.800808,[]
2026-06-10,12:07:22.834175,[]
2026-06-10,12:07:22.867542,[]
2026-06-10,12:07:22.900909,[]
2026-06-10,12:07:22.934276,[]
2026-06-10,12:07:22.967643,[]
2026-06-10,12:07:23.001010,[]
2026-06-10,12:07:23.034377,[]
2026-06-10,12:07:23.067744,[]
2026-06-10,12:07:23.101111,[]
2026-06-10,12:07:23.134478,[]
2026-06-10,12:07:23.167845,[]
2026-06-10,12:07:23.201212,[]
2026-06-10,12:07:23.234579,[]
2026-06-10,12:07:23.267946,[]
2026-06-10,12:07:23.301313,[]
2026-06-10,12:07:23.334680,[]
2026-06-10,12:07:23.368047,[]
2026-06-10,12:07:23.401414,[]
2026-06-10,12:07:23.434781,[]
2026-06-10,12:07:23.468148,[]
2026-06-10,12:07:23.501515,[]
2026-06-10,12:07:23.534882,[]
2026-06-10,12:07:23.568249,[]
2026-06-10,12:07:23.601616,[]
2026-06-10,12:07:23.634983,[]
2026-06-10,12:07:23.668350,[]
2026-06-10,12:07:23.701717,[]
2026-06-10,12:07:23.735084,[]
2026-06-10,12:07:23.768451,[]
2026-06-10,12:07:23.801818,[]
2026-06-10,12:07:23.835185,[]
2026-06-10,12:07:23.868552,[]
2026-06-10,12:07:23.901919,[]
2026-06-10,12:07:23.935286,[]
2026-06-10,12:07:23.968653,[]
2026-06-10,12:07:24.002020,[]
2026-06-10,12:07:24.035387,[]
