Timestamp,Particle Count (pt/cc),Vehicles In Frame,EVs,Diesel,Benzin
11:28:28,,0,0,0,0
11:28:29,,0,0,0,0
11:28:30,,0,0,0,0
11:28:31,,0,0,0,0
11:28:32,8820,0,0,0,0
11:28:33,8880,0,0,0,0
11:28:34,8770,0,0,0,0
11:28:35,8730,0,0,0,0
11:28:36,8870,0,0,0,0
11:28:37,8750,0,0,0,0
11:28:38,8830,0,0,0,0
11:28:39,8680,0,0,0,0
11:28:40,8690,0,0,0,0
11:28:41,8590,0,0,0,0
11:28:42,8580,0,0,0,0
11:28:43,8640,0,0,0,0
11:28:44,8600,0,0,0,0
11:28:45,8600,0,0,0,0
11:28:46,8800,0,0,0,0
11:28:47,8580,0,0,0,0
11:28:48,8500,0,0,0,0
11:28:49,8610,0,0,0,0
11:28:50,8610,0,0,0,0
11:28:51,8580,0,0,0,0
11:28:52,8700,0,0,0,0
11:28:53,9060,0,0,0,0
11:28:54,9240,0,0,0,0
11:28:55,9410,0,0,0,0
11:28:56,9330,0,0,0,0
11:28:57,9380,0,0,0,0
11:28:58,9440,0,0,0,0
11:28:59,9480,0,0,0,0
11:29:00,9240,0,0,0,0
11:29:01,9230,0,0,0,0
11:29:02,9090,1,0,1,0
11:29:03,9080,0,0,0,0
11:29:04,9060,0,0,0,0
11:29:05,9230,0,0,0,0
11:29:06,9320,1,0,0,1
11:29:07,9320,0,0,0,0
11:29:08,9270,0,0,0,0
11:29:09,9220,0,0,0,0
11:29:10,9300,0,0,0,0
11:29:11,9300,0,0,0,0
11:29:12,9170,0,0,0,0
11:29:13,9340,0,0,0,0
11:29:14,9280,0,0,0,0
11:29:15,9290,1,0,1,0
11:29:16,9220,0,0,0,0
11:29:17,9280,0,0,0,0
11:29:18,9110,0,0,0,0
11:29:19,9110,1,0,0,1
11:29:20,9300,0,0,0,0
11:29:21,9220,0,0,0,0
11:29:22,9180,0,0,0,0
11:29:23,9280,1,1,0,0
11:29:24,9420,0,0,0,0
11:29:25,9340,0,0,0,0
11:29:26,9280,0,0,0,0
11:29:27,9290,0,0,0,0
11:29:28,9630,0,0,0,0
11:29:29,9400,1,1,0,0
11:29:30,9390,0,0,0,0
11:29:31,9380,0,0,0,0
11:29:32,9800,0,0,0,0
11:29:33,9930,0,0,0,0
11:29:34,9810,1,0,1,0
11:29:35,9420,0,0,0,0
11:29:36,9210,0,0,0,0
11:29:37,9390,0,0,0,0
11:29:38,9230,0,0,0,0
11:29:39,9180,1,1,0,0
11:29:40,9140,1,1,0,0
11:29:41,9370,0,0,0,0
11:29:42,9200,0,0,0,0
11:29:43,9250,0,0,0,0
11:29:44,9650,0,0,0,0
11:29:45,9650,0,0,0,0
11:29:46,9410,0,0,0,0
11:29:47,9550,0,0,0,0
11:29:48,9620,0,0,0,0
11:29:49,9590,0,0,0,0
11:29:50,9880,0,0,0,0
11:29:51,10000,0,0,0,0
11:29:52,10200,0,0,0,0
11:29:53,10300,0,0,0,0
11:29:54,10200,0,0,0,0
11:29:55,10300,0,0,0,0
11:29:56,10100,0,0,0,0
11:29:57,9960,0,0,0,0
11:29:58,10000,0,0,0,0
11:29:59,10100,0,0,0,0
11:30:00,10100,0,0,0,0
11:30:01,9970,0,0,0,0
11:30:02,9430,0,0,0,0
11:30:03,9060,0,0,0,0
11:30:04,9160,1,0,1,0
11:30:05,9080,1,0,1,0
11:30:06,9120,0,0,0,0
11:30:07,8510,0,0,0,0
11:30:08,8830,0,0,0,0
11:30:09,9180,1,0,0,1
11:30:10,9470,1,0,0,1
11:30:11,9650,0,0,0,0
11:30:12,9730,0,0,0,0
11:30:13,9600,0,0,0,0
11:30:14,9330,1,1,0,0
11:30:15,9280,1,1,0,0
11:30:16,9110,0,0,0,0
11:30:17,9360,0,0,0,0
11:30:18,9360,0,0,0,0
11:30:19,9270,0,0,0,0
11:30:20,9330,0,0,0,0
11:30:21,9500,0,0,0,0
11:30:22,9620,0,0,0,0
11:30:23,9880,0,0,0,0
11:30:24,9950,0,0,0,0
11:30:25,9870,1,1,0,0
11:30:26,10300,0,0,0,0
11:30:27,10500,0,0,0,0
11:30:28,10100,0,0,0,0
11:30:29,9990,0,0,0,0
11:30:30,10300,1,1,0,0
11:30:31,10400,0,0,0,0
11:30:32,10300,0,0,0,0
11:30:33,9870,0,0,0,0
11:30:34,10500,0,0,0,0
11:30:35,9980,1,1,0,0
11:30:36,10200,0,0,0,0
11:30:37,11000,0,0,0,0
11:30:38,10600,1,0,0,1
11:30:39,10100,0,0,0,0
11:30:40,10100,0,0,0,0
11:30:41,10200,0,0,0,0
11:30:42,10200,0,0,0,0
11:30:43,10600,1,1,0,0
11:30:44,10400,0,0,0,0
11:30:45,10900,0,0,0,0
11:30:46,11200,1,1,0,0
11:30:47,10700,0,0,0,0
11:30:48,10600,0,0,0,0
11:30:49,10500,0,0,0,0
11:30:50,10400,0,0,0,0
11:30:51,10500,0,0,0,0
11:30:52,10400,1,0,1,0
11:30:53,10300,0,0,0,0
11:30:54,10300,0,0,0,0
11:30:55,10300,0,0,0,0
11:30:56,10300,0,0,0,0
11:30:57,10300,0,0,0,0
11:30:58,10400,1,1,0,0
11:30:59,10400,0,0,0,0
11:31:00,10600,0,0,0,0
11:31:01,11000,1,1,0,0
11:31:02,11000,0,0,0,0
11:31:03,10800,0,0,0,0
11:31:04,10900,0,0,0,0
11:31:05,11300,0,0,0,0
11:31:06,11100,0,0,0,0
11:31:07,11000,0,0,0,0
11:31:08,10700,0,0,0,0
11:31:09,10500,0,0,0,0
11:31:10,10300,0,0,0,0
11:31:11,10500,0,0,0,0
11:31:12,10600,0,0,0,0
11:31:13,10800,0,0,0,0
11:31:14,11100,0,0,0,0
11:31:15,11300,0,0,0,0
11:31:16,10900,0,0,0,0
11:31:17,10900,0,0,0,0
11:31:18,10100,0,0,0,0
11:31:19,10000,0,0,0,0
11:31:20,10000,0,0,0,0
11:31:21,10100,0,0,0,0
11:31:22,10100,0,0,0,0
11:31:23,9670,0,0,0,0
11:31:24,9610,0,0,0,0
11:31:25,9870,0,0,0,0
11:31:26,10300,0,0,0,0
11:31:27,10400,0,0,0,0
11:31:28,10100,0,0,0,0
11:31:29,10200,0,0,0,0
11:31:30,9850,0,0,0,0
11:31:31,10000,0,0,0,0
11:31:32,10100,0,0,0,0
11:31:33,9930,0,0,0,0
11:31:34,10200,0,0,0,0
11:31:35,10100,0,0,0,0
11:31:36,10100,0,0,0,0
11:31:37,9940,0,0,0,0
11:31:38,9710,0,0,0,0
11:31:39,9750,0,0,0,0
11:31:40,9710,0,0,0,0
11:31:41,9550,0,0,0,0
11:31:42,9520,0,0,0,0
11:31:43,9760,0,0,0,0
11:31:44,9870,0,0,0,0
11:31:45,10100,0,0,0,0
11:31:46,9870,0,0,0,0
11:31:47,10100,0,0,0,0
11:31:48,10000,0,0,0,0
11:31:49,9980,0,0,0,0
