Date,Time,plates
2026-06-02,11:28:33.605656,[]
2026-06-02,11:28:33.639023,[]
2026-06-02,11:28:33.672390,[]
2026-06-02,11:28:33.705757,[]
2026-06-02,11:28:33.739124,[]
2026-06-02,11:28:33.772491,[]
2026-06-02,11:28:33.805858,[]
2026-06-02,11:28:33.839225,[]
2026-06-02,11:28:33.872592,[]
2026-06-02,11:28:33.905959,[]
2026-06-02,11:28:33.939326,[]
2026-06-02,11:28:33.972693,[]
2026-06-02,11:28:34.006060,[]
2026-06-02,11:28:34.039427,[]
2026-06-02,11:28:34.072794,[]
2026-06-02,11:28:34.106161,[]
2026-06-02,11:28:34.139528,[]
2026-06-02,11:28:34.172895,[]
2026-06-02,11:28:34.206262,[]
2026-06-02,11:28:34.239629,[]
2026-06-02,11:28:34.272996,[]
2026-06-02,11:28:34.306363,[]
2026-06-02,11:28:34.339730,[]
2026-06-02,11:28:34.373097,[]
2026-06-02,11:28:34.406464,[]
2026-06-02,11:28:34.439831,[]
2026-06-02,11:28:34.473198,[]
2026-06-02,11:28:34.506565,[]
2026-06-02,11:28:34.539932,[]
2026-06-02,11:28:34.573299,[]
2026-06-02,11:28:34.606666,[]
2026-06-02,11:28:34.640033,[]
2026-06-02,11:28:34.673400,[]
2026-06-02,11:28:34.706767,[]
2026-06-02,11:28:34.740134,[]
2026-06-02,11:28:34.773501,[]
2026-06-02,11:28:34.806868,[]
2026-06-02,11:28:34.840235,[]
2026-06-02,11:28:34.873602,[]
2026-06-02,11:28:34.906969,[]
2026-06-02,11:28:34.940336,[]
2026-06-02,11:28:34.973703,[]
2026-06-02,11:28:35.007070,[]
2026-06-02,11:28:35.040437,[]
2026-06-02,11:28:35.073804,[]
2026-06-02,11:28:35.107171,[]
2026-06-02,11:28:35.140538,[]
2026-06-02,11:28:35.173905,[]
2026-06-02,11:28:35.207272,[]
2026-06-02,11:28:35.240639,[]
2026-06-02,11:28:35.274006,[]
2026-06-02,11:28:35.307373,[]
2026-06-02,11:28:35.340740,[]
2026-06-02,11:28:35.374107,[]
2026-06-02,11:28:35.407474,[]
2026-06-02,11:28:35.440841,[]
2026-06-02,11:28:35.474208,[]
2026-06-02,11:28:35.507575,[]
2026-06-02,11:28:35.540942,[]
2026-06-02,11:28:35.574309,[]
2026-06-02,11:28:35.607676,[]
2026-06-02,11:28:35.641043,[]
2026-06-02,11:28:35.674410,[]
2026-06-02,11:28:35.707777,[]
2026-06-02,11:28:35.741144,[]
2026-06-02,11:28:35.774511,[]
2026-06-02,11:28:35.807878,[]
2026-06-02,11:28:35.841245,[]
2026-06-02,11:28:35.874612,[]
2026-06-02,11:28:35.907979,[]
2026-06-02,11:28:35.941346,[]
2026-06-02,11:28:35.974713,[]
2026-06-02,11:28:36.008080,[]
2026-06-02,11:28:36.041447,[]
2026-06-02,11:28:36.074814,[]
2026-06-02,11:28:36.108181,[]
2026-06-02,11:28:36.141548,[]
2026-06-02,11:28:36.174915,[]
2026-06-02,11:28:36.208282,[]
2026-06-02,11:28:36.241649,[]
2026-06-02,11:28:36.275016,[]
2026-06-02,11:28:36.308383,[]
2026-06-02,11:28:36.341750,[]
2026-06-02,11:28:36.375117,[]
2026-06-02,11:28:36.408484,[]
2026-06-02,11:28:36.441851,[]
2026-06-02,11:28:36.475218,[]
2026-06-02,11:28:36.508585,[]
2026-06-02,11:28:36.541952,[]
2026-06-02,11:28:36.575319,[]
2026-06-02,11:28:36.608686,[]
2026-06-02,11:28:36.642053,[]
2026-06-02,11:28:36.675420,[]
2026-06-02,11:28:36.708787,[]
2026-06-02,11:28:36.742154,[]
2026-06-02,11:28:36.775521,[]
2026-06-02,11:28:36.808888,[]
2026-06-02,11:28:36.842255,[]
2026-06-02,11:28:36.875622,[]
2026-06-02,11:28:36.908989,[]
2026-06-02,11:28:36.942356,[]
2026-06-02,11:28:36.975723,[]
2026-06-02,11:28:37.009090,[]
2026-06-02,11:28:37.042457,[]
2026-06-02,11:28:37.075824,[]
2026-06-02,11:28:37.109191,[]
2026-06-02,11:28:37.142558,[]
2026-06-02,11:28:37.175925,[]
2026-06-02,11:28:37.209292,[]
2026-06-02,11:28:37.242659,[]
2026-06-02,11:28:37.276026,[]
2026-06-02,11:28:37.309393,[]
2026-06-02,11:28:37.342760,[]
2026-06-02,11:28:37.376127,[]
2026-06-02,11:28:37.409494,[]
2026-06-02,11:28:37.442861,[]
2026-06-02,11:28:37.476228,[]
2026-06-02,11:28:37.509595,[]
2026-06-02,11:28:37.542962,[]
2026-06-02,11:28:37.576329,[]
2026-06-02,11:28:37.609696,[]
2026-06-02,11:28:37.643063,[]
2026-06-02,11:28:37.676430,[]
2026-06-02,11:28:37.709797,[]
2026-06-02,11:28:37.743164,[]
2026-06-02,11:28:37.776531,[]
2026-06-02,11:28:37.809898,[]
2026-06-02,11:28:37.843265,[]
2026-06-02,11:28:37.876632,[]
2026-06-02,11:28:37.909999,[]
2026-06-02,11:28:37.943366,[]
2026-06-02,11:28:37.976733,[]
2026-06-02,11:28:38.010100,[]
2026-06-02,11:28:38.043467,[]
2026-06-02,11:28:38.076834,[]
2026-06-02,11:28:38.110201,[]
2026-06-02,11:28:38.143568,[]
2026-06-02,11:28:38.176935,[]
2026-06-02,11:28:38.210302,[]
2026-06-02,11:28:38.243669,[]
2026-06-02,11:28:38.277036,[]
2026-06-02,11:28:38.310403,[]
2026-06-02,11:28:38.343770,[]
2026-06-02,11:28:38.377137,[]
2026-06-02,11:28:38.410504,[]
2026-06-02,11:28:38.443871,[]
2026-06-02,11:28:38.477238,[]
2026-06-02,11:28:38.510605,[]
2026-06-02,11:28:38.543972,[]
2026-06-02,11:28:38.577339,[]
2026-06-02,11:28:38.610706,[]
2026-06-02,11:28:38.644073,[]
2026-06-02,11:28:38.677440,[]
2026-06-02,11:28:38.710807,[]
2026-06-02,11:28:38.744174,[]
2026-06-02,11:28:38.777541,[]
2026-06-02,11:28:38.810908,[]
2026-06-02,11:28:38.844275,[]
2026-06-02,11:28:38.877642,[]
2026-06-02,11:28:38.911009,[]
2026-06-02,11:28:38.944376,[]
2026-06-02,11:28:38.977743,[]
2026-06-02,11:28:39.011110,[]
2026-06-02,11:28:39.044477,[]
2026-06-02,11:28:39.077844,[]
2026-06-02,11:28:39.111211,[]
2026-06-02,11:28:39.144578,[]
2026-06-02,11:28:39.177945,[]
2026-06-02,11:28:39.211312,[]
2026-06-02,11:28:39.244679,[]
2026-06-02,11:28:39.278046,[]
2026-06-02,11:28:39.311413,[]
2026-06-02,11:28:39.344780,[]
2026-06-02,11:28:39.378147,[]
2026-06-02,11:28:39.411514,[]
2026-06-02,11:28:39.444881,[]
2026-06-02,11:28:39.478248,[]
2026-06-02,11:28:39.511615,[]
2026-06-02,11:28:39.544982,[]
2026-06-02,11:28:39.578349,[]
2026-06-02,11:28:39.611716,[]
2026-06-02,11:28:39.645083,[]
2026-06-02,11:28:39.678450,[]
2026-06-02,11:28:39.711817,[]
2026-06-02,11:28:39.745184,[]
2026-06-02,11:28:39.778551,[]
2026-06-02,11:28:39.811918,[]
2026-06-02,11:28:39.845285,[]
2026-06-02,11:28:39.878652,[]
2026-06-02,11:28:39.912019,[]
2026-06-02,11:28:39.945386,[]
2026-06-02,11:28:39.978753,[]
2026-06-02,11:28:40.012120,[]
2026-06-02,11:28:40.045487,[]
2026-06-02,11:28:40.078854,[]
2026-06-02,11:28:40.112221,[]
2026-06-02,11:28:40.145588,[]
2026-06-02,11:28:40.178955,[]
2026-06-02,11:28:40.212322,[]
2026-06-02,11:28:40.245689,[]
2026-06-02,11:28:40.279056,[]
2026-06-02,11:28:40.312423,[]
2026-06-02,11:28:40.345790,[]
2026-06-02,11:28:40.379157,[]
2026-06-02,11:28:40.412524,[]
2026-06-02,11:28:40.445891,[]
2026-06-02,11:28:40.479258,[]
2026-06-02,11:28:40.512625,[]
2026-06-02,11:28:40.545992,[]
2026-06-02,11:28:40.579359,[]
2026-06-02,11:28:40.612726,[]
2026-06-02,11:28:40.646093,[]
2026-06-02,11:28:40.679460,[]
2026-06-02,11:28:40.712827,[]
2026-06-02,11:28:40.746194,[]
2026-06-02,11:28:40.779561,[]
2026-06-02,11:28:40.812928,[]
2026-06-02,11:28:40.846295,[]
2026-06-02,11:28:40.879662,[]
2026-06-02,11:28:40.913029,[]
2026-06-02,11:28:40.946396,[]
2026-06-02,11:28:40.979763,[]
2026-06-02,11:28:41.013130,[]
2026-06-02,11:28:41.046497,[]
2026-06-02,11:28:41.079864,[]
2026-06-02,11:28:41.113231,[]
2026-06-02,11:28:41.146598,[]
2026-06-02,11:28:41.179965,[]
2026-06-02,11:28:41.213332,[]
2026-06-02,11:28:41.246699,[]
2026-06-02,11:28:41.280066,[]
2026-06-02,11:28:41.313433,[]
2026-06-02,11:28:41.346800,[]
2026-06-02,11:28:41.380167,[]
2026-06-02,11:28:41.413534,[]
2026-06-02,11:28:41.446901,[]
2026-06-02,11:28:41.480268,[]
2026-06-02,11:28:41.513635,[]
2026-06-02,11:28:41.547002,[]
2026-06-02,11:28:41.580369,[]
