Date,Time,Particle_Count
06/02/2026,11:31:19,"10000
"
06/02/2026,11:31:20,"10000
"
06/02/2026,11:31:21,"10100
"
06/02/2026,11:31:22,"10100
"
06/02/2026,11:31:23,"9670
"
06/02/2026,11:31:24,"9610
"
06/02/2026,11:31:25,"9870
"
06/02/2026,11:31:26,"10300
"
06/02/2026,11:31:27,"10400
"
06/02/2026,11:31:28,"10100
"
06/02/2026,11:31:29,"10200
"
06/02/2026,11:31:30,"9850
"
06/02/2026,11:31:31,"10000
"
06/02/2026,11:31:32,"10100
"
06/02/2026,11:31:33,"9930
"
06/02/2026,11:31:34,"10200
"
06/02/2026,11:31:35,"10100
"
06/02/2026,11:31:36,"10100
"
06/02/2026,11:31:37,"9940
"
06/02/2026,11:31:38,"9710
"
06/02/2026,11:31:39,"9750
"
06/02/2026,11:31:40,"9710
"
06/02/2026,11:31:41,"9550
"
06/02/2026,11:31:42,"9520
"
06/02/2026,11:31:43,"9760
"
06/02/2026,11:31:44,"9870
"
06/02/2026,11:31:45,"10100
"
06/02/2026,11:31:46,"9870
"
06/02/2026,11:31:47,"10100
"
06/02/2026,11:31:48,"10000
"
06/02/2026,11:31:49,"9980
"
06/02/2026,11:31:50,"10000
"
06/02/2026,11:31:51,"10000
"
06/02/2026,11:31:52,"10300
"
06/02/2026,11:31:53,"10500
"
06/02/2026,11:31:54,"10300
"
06/02/2026,11:31:55,"10200
"
06/02/2026,11:31:56,"10400
"
06/02/2026,11:31:57,"10700
"
06/02/2026,11:31:58,"10900
"
06/02/2026,11:31:59,"11800
"
06/02/2026,11:32:00,"11900
"
06/02/2026,11:32:01,"11500
"
06/02/2026,11:32:02,"11500
"
06/02/2026,11:32:03,"11700
"
06/02/2026,11:32:04,"11700
"
06/02/2026,11:32:05,"11600
"
06/02/2026,11:32:06,"11900
"
06/02/2026,11:32:07,"12100
"
06/02/2026,11:32:08,"12400
"
06/02/2026,11:32:09,"12700
"
06/02/2026,11:32:10,"12600
"
06/02/2026,11:32:11,"12100
"
06/02/2026,11:32:12,"12700
"
06/02/2026,11:32:13,"12700
"
06/02/2026,11:32:14,"12400
"
06/02/2026,11:32:15,"12200
"
06/02/2026,11:32:16,"12000
"
06/02/2026,11:32:17,"11800
"
06/02/2026,11:32:18,"11500
"
06/02/2026,11:32:19,"11500
"
06/02/2026,11:32:20,"11500
"
06/02/2026,11:32:21,"11500
"
06/02/2026,11:32:22,"11500
"
06/02/2026,11:32:23,"11400
"
06/02/2026,11:32:24,"11300
"
06/02/2026,11:32:25,"11300
"
06/02/2026,11:32:26,"11300
"
06/02/2026,11:32:27,"11300
"
06/02/2026,11:32:28,"11400
"
06/02/2026,11:32:29,"11400
"
06/02/2026,11:32:30,"11300
"
06/02/2026,11:32:31,"11300
"
06/02/2026,11:32:32,"11000
"
06/02/2026,11:32:33,"10800
"
06/02/2026,11:32:34,"10500
"
06/02/2026,11:32:35,"10100
"
06/02/2026,11:32:36,"9790
"
06/02/2026,11:32:37,"9830
"
06/02/2026,11:32:38,"9620
"
06/02/2026,11:32:39,"9810
"
06/02/2026,11:32:40,"9820
"
06/02/2026,11:32:41,"9950
"
06/02/2026,11:32:42,"9620
"
06/02/2026,11:32:43,"9270
"
06/02/2026,11:32:44,"8820
"
06/02/2026,11:32:45,"8880
"
06/02/2026,11:32:46,"9050
"
06/02/2026,11:32:47,"9390
"
06/02/2026,11:32:48,"9380
"
06/02/2026,11:32:49,"9420
"
06/02/2026,11:32:50,"9640
"
06/02/2026,11:32:51,"9570
"
06/02/2026,11:32:52,"9590
"
06/02/2026,11:32:53,"9400
"
06/02/2026,11:32:54,"9150
"
06/02/2026,11:32:55,"9320
"
